| title                                                     | contact                                                                                 | address                                                                                 |
| --------------------------------------------------------- | --------------------------------------------------------------------------------------- | --------------------------------------------------------------------------------------- |
| Zimmer Tractor - Brookville                               | Sales Department                                                                        | Sales Department                                                                        |
| "Sunshine Quality Solutions, LLC - Opelousas"             | "Tommy Hollier, Sales Rep, UsedSales@SunEquip.com"                                      | "Tommy Hollier, Sales Rep, UsedSales@SunEquip.com"                                      |
| Zimmer Tractor - Aurora                                   | Sales Department                                                                        | Sales Department                                                                        |
| TriGreen Equipment  - Scottsboro                          | "Jeff Webb, Sales Manager, jayhamlett@trigreenequipment.com"                            | "Jeff Webb, Sales Manager, jayhamlett@trigreenequipment.com"                            |
| Van Wall Equipment - Olathe                               | "Mark See, Mark.See@vanwall.com"                                                        | "Mark See, Mark.See@vanwall.com"                                                        |
| Yost Farm Supply                                          | "Jon Yost, Manager , jonyost@st-tel.net"                                                | "Jon Yost, Manager , jonyost@st-tel.net"                                                |
| "Sunshine Quality Solutions, LLC - Welsh"                 | "Bennet Hebert & Brent Broussard, Store Manager, UsedSales@SunEquip.com"                | "Bennet Hebert & Brent Broussard, Store Manager, UsedSales@SunEquip.com"                |
| "Sunshine Quality Solutions, LLC - Thibodaux"             | "Perry Falcon & Rooney Hymel, Sales Representative, UsedSales@SunEquip.com"             | "Perry Falcon & Rooney Hymel, Sales Representative, UsedSales@SunEquip.com"             |
| Stotz Equipment - Twin Falls                              | "Larry  Slater, lslatter@stotzeq.com"                                                   | "Larry  Slater, lslatter@stotzeq.com"                                                   |
| Wright Implement - Seymour                                | Sales                                                                                   | Sales                                                                                   |
| "Smith Tractor Company - Jay, Fl"                         | "Dewayne Williams, dwilliams@smithtractorco.com"                                        | "Dewayne Williams, dwilliams@smithtractorco.com"                                        |
| "Suwannee Equipment - Live Oak, Fl"                       | suwequip@windstream.net                                                                 | suwequip@windstream.net                                                                 |
| Yarger Machinery Sales - Manito                           | "Sales Department, tina@yargersales.com"                                                | "Sales Department, tina@yargersales.com"                                                |
| Yarger Machinery Sales - Kewanee                          | "Rick Yarger, Marketing Manager, tina@yargersales.com"                                  | "Rick Yarger, Marketing Manager, tina@yargersales.com"                                  |
| Valley Equipment & Irrigation - Blackfoot                 | "Tyson Andersen, tyson@veiblackfoot.com"                                                | "Tyson Andersen, tyson@veiblackfoot.com"                                                |
| Yarger Machinery Sales - Canton                           | "Sales Department, tina@yargersales.com"                                                | "Sales Department, tina@yargersales.com"                                                |
| Ziegler Ag Equipment - Sioux City                         | "Sales, Used Ag Equipment, UsedAgLeads@zieglercat.com"                                  | "Sales, Used Ag Equipment, UsedAgLeads@zieglercat.com"                                  |
| Ziegler Ag Equipment - Postville                          | "Sales, Used Ag Equipment, UsedAgLeads@zieglercat.com"                                  | "Sales, Used Ag Equipment, UsedAgLeads@zieglercat.com"                                  |
| Ziegler Ag Equipment - Call for Location                  | "Sales, Used Ag Equipment, UsedAgLeads@zieglercat.com"                                  | "Sales, Used Ag Equipment, UsedAgLeads@zieglercat.com"                                  |
