title,posted_date,location,company_name,detail_job_urk
Data Scientist,2020-03-25T12:00,"Detroit, MI, 48226",Quicken Loans,https://job-openings.monster.com/data-scientist-detroit-mi-us-quicken-loans/3328d898-5010-401d-b92c-f67c1e37b468
Data Scientist,2020-03-17T12:00,"Philadelphia, PA",The Judge Group,https://job-openings.monster.com/data-scientist-philadelphia-pa-us-the-judge-group/216762003
Senior Data Scientist / Engineer,2020-02-13T12:00,"HERNDON, VA",Electronic Warfare Associates,https://job-openings.monster.com/senior-data-scientist-engineer-herndon-va-us-electronic-warfare-associates/215841257
Sr. Data Engineer/Scientist,2020-02-28T12:00,"Chicago, IL, 60617",GlobalSource IT,https://job-openings.monster.com/sr-data-engineer-scientist-chicago-il-us-globalsource-it/216311213
Senior Data Scientist/Data Engineer,2020-03-19T12:00,"Louisville, KY, 40201",Humana,https://job-openings.monster.com/senior-data-scientist-data-engineer-louisville-ky-us-humana/6553b93d-2ec1-48c3-8fea-d3682ba62a2b
Data Scietist with Pharma - Princeton-NJ.,2020-03-24T12:00,"Trenton, NJ, 08648",PSRTEK Inc,https://job-openings.monster.com/data-scietist-with-pharma-princeton-nj-trenton-nj-us-psrtek-inc/216931710
"Data Scientist - Python, R, Machine Learning",2020-03-23T12:00,"Cary, NC, 27511",CyberCoders,https://job-openings.monster.com/data-scientist-python-r-machine-learning-cary-nc-us-cybercoders/216876675
Big Data Engineer,2020-03-12T12:00,"McLean, VA, 22101",Idexcel,https://job-openings.monster.com/big-data-engineer-mclean-va-us-idexcel/216670296
Sr Data engineer,2020-03-25T12:00,"East Hanover, NJ",JVR TECH,https://job-openings.monster.com/sr-data-engineer-east-hanover-nj-us-jvr-tech/216947184
Big Data/Data Lake Architect,2020-03-27T12:00,"Charlotte, NC, 28255",Diversant LLC,https://job-openings.monster.com/big-data-data-lake-architect-charlotte-nc-us-diversant-llc/216698012
Data Scientist,2020-03-25T12:00,"Detroit, MI, 48226",Quicken Loans,https://job-openings.monster.com/data-scientist-detroit-mi-us-quicken-loans/3328d898-5010-401d-b92c-f67c1e37b468
Data Analyst,2020-03-17T12:00,"Washington, DC",Bowhead,https://job-openings.monster.com/data-analyst-washington-dc-us-bowhead/216742303
Marketing Analytics Specialist,2020-03-20T12:00,"Lexington, MA, 02420",Mimecast Services Limited,https://job-openings.monster.com/marketing-analytics-specialist-lexington-ma-us-mimecast-services-limited/d7d1489c-8069-4438-88d3-2d90ff2715e3
Splunk Data Engineer,2020-03-26T12:00,"Houston, TX, 77002",DISYS,https://job-openings.monster.com/splunk-data-engineer-houston-tx-us-disys/216281783
Data Scraper Developer,2020-03-13T12:00,"Lake Forest, IL, 60045","Peterson Technology Partners, Inc.",https://job-openings.monster.com/data-scraper-developer-lake-forest-il-us-peterson-technology-partners-inc/213761946
"Bioinformatics Engineer, Senior HPRCC",2020-03-25T12:00,"Irwindale, CA",City of Hope,https://job-openings.monster.com/bioinformatics-engineer-senior-hprcc-irwindale-ca-us-city-of-hope/593a4466-88d7-4072-a304-125a0ed110da
"Senior Data Engineer - Work in Raleigh, NC",2020-03-16T12:00,"Millbrook, NC",Genworth,https://job-openings.monster.com/senior-data-engineer-work-in-raleigh-nc-millbrook-nc-us-genworth/9f00f5ce-0ffe-428d-88c4-d24077639338
Sr Data Scientist,2020-03-25T12:00,"Los Angeles, CA",IBM,https://job-openings.monster.com/sr-data-scientist-los-angeles-ca-us-ibm/ffadd82d-c6fa-4ead-bb1f-737edb0c9e95
Data Scientist Expertise (E),2020-03-24T12:00,"Lisbon, LA, 1500614",AxiansPT,https://job-openings.monster.com/data-scientist-expertise-e-lisbon-la-us-axianspt/5f820c4d-12ed-48e1-88af-a6729938844d
Senior Analytics Manager,2020-03-16T12:00,"Stamford, CT, 06902","Harvey Nash, Inc",https://job-openings.monster.com/senior-analytics-manager-stamford-ct-us-harvey-nash-inc/216348376
Senior Systems Analyst (Front Office),2020-03-26T12:00,"Marple, PA",Softworld Inc,https://job-openings.monster.com/senior-systems-analyst-front-office-marple-pa-us-softworld-inc/216264109
Data Scientist,2020-03-27T12:00,"Irvine, CA, 92618",Strategic Employment,https://job-openings.monster.com/data-scientist-irvine-ca-us-strategic-employment/a01d151e-5442-491c-be7c-0ef63fc5495b
Data Scientist with Secret Clearance,2020-03-18T12:00,"Patuxent River, MD",psi pax inc,https://job-openings.monster.com/data-scientist-with-secret-clearance-patuxent-river-md-us-psi-pax-inc/d8e587df-a62a-4ad3-a888-fa14c0961063
Data Scientist,2020-03-05T12:00,"Short Hills, NJ",Dun & Bradstreet,https://job-openings.monster.com/data-scientist-short-hills-nj-us-dun-bradstreet/6356dffd-6b99-4e50-a63b-78682e01118e
Sr. Data Scientist,2020-03-20T12:00,"Colorado Springs, CO",Perspecta Careers,https://job-openings.monster.com/sr-data-scientist-colorado-springs-co-us-perspecta-careers/f358561a-d8c1-4016-a5ab-c5cedf536601
Data Scientist,2020-03-04T12:00,"Vienna, VA, 22182",NT Concepts,https://job-openings.monster.com/data-scientist-vienna-va-us-nt-concepts/ba4d0cea-35c8-4603-b3b7-c083b25040e0
Entry level Data Scientist,2020-03-16T12:00,"Seattle, WA",Mitaja Corporation,https://job-openings.monster.com/entry-level-data-scientist-seattle-wa-us-mitaja-corporation/4a2e3ed6-1df7-4de3-9f4f-5e4f24d316d1
Data Scientist - REMOTE,2020-02-26T12:00,"Gold River, CA, 95670",PTP,https://job-openings.monster.com/data-scientist-remote-gold-river-ca-us-ptp/6b9cf509-c4aa-415b-beb9-db44df021e9c
Data Scientist,2020-03-10T12:00,"Irving, TX",RMS Computer Corp,https://job-openings.monster.com/data-scientist-irving-tx-us-rms-computer-corp/87e42631-847e-4be4-9964-06887efb3d2d
Data Scientist,2020-03-02T12:00,"San Francisco, CA",MasterClass,https://job-openings.monster.com/data-scientist-san-francisco-ca-us-masterclass/e52ad97c-e1ed-4b64-9277-7ea9e26439a6
Director/Product Owner- Clinical Data Lake (Full Remote),2020-03-19T12:00,"New York, NY",Hays,https://job-openings.monster.com/director-product-owner-clinical-data-lake-full-remote-new-york-ny-us-hays/216817534
Java Software Engineer,2020-03-13T12:00,"Charlotte, NC","Peterson Technology Partners, Inc.",https://job-openings.monster.com/java-software-engineer-charlotte-nc-us-peterson-technology-partners-inc/213762074
Data Scientist,2020-02-21T12:00,"Ashburn, VA",Infinitive,https://job-openings.monster.com/data-scientist-ashburn-va-us-infinitive/b919a881-11c6-4919-b7ed-c3c1d9b6cc8e
Platform Engineer,2020-03-26T12:00,"Durham, NC, 27707",Apex Systems,https://job-openings.monster.com/platform-engineer-durham-nc-us-apex-systems/216954540
"Principal Associate, Data Scientist - Speech",2020-03-27T12:00,"McLean, VA",Capital One,https://job-openings.monster.com/principal-associate-data-scientist-speech-mclean-va-us-capital-one/802c8100-dd61-4d98-b2a6-6f2fcb46c51b
Principal Data Scientist,2020-03-20T12:00,"Washington DC, DC",Gallup-V1,https://job-openings.monster.com/principal-data-scientist-washington-dc-dc-us-gallup-v1/b7ceafee-750d-4524-bfad-aeae7b160d75
DATA SCIENTIST II,2020-03-19T12:00,"Greeley, CO",Pilgrim's Pride Corporation,https://job-openings.monster.com/data-scientist-ii-greeley-co-us-pilgrims-pride-corporation/1decbf3b-8230-403d-adee-317b93a4fedf
Sr Data Scientist,2020-03-25T12:00,"Austin, TX",IBM,https://job-openings.monster.com/sr-data-scientist-austin-tx-us-ibm/f69ad935-6b6c-42fb-8907-66ec2d39b9fc
Data Scientist,2020-03-04T12:00,"Chesterfield, MO, 63017",Berkley,https://job-openings.monster.com/data-scientist-chesterfield-mo-us-berkley/bf31e68a-072c-4fe5-b7cb-3157ea39593d
