player_id,name,team,active,country,debut,experience,hight,weight,birth_date
203500,Steven Adams,Oklahoma City Thunder (OKC),True,New Zealand,2013,6,6ft 11in,120.2 kg,1993-07-20
1628389,Bam Adebayo,Miami Heat (MIA),True,USA,2017,2,6ft 9in,115.7 kg,1997-07-18
200746,LaMarcus Aldridge,San Antonio Spurs (SAS),True,USA,2006,13,6ft 11in,113.4 kg,1985-07-19
1629734,Kyle Alexander,Miami Heat (MIA),True,Canada,,0,6ft 10in,98.0 kg,1996-10-21
1629638,Nickeil Alexander-Walker,New Orleans Pelicans (NOP),True,Canada,2019,0,6ft 5in,93.0 kg,1998-09-02
1628960,Grayson Allen,Memphis Grizzlies (MEM),True,USA,2018,1,6ft 4in,89.8 kg,1995-10-08
1628386,Jarrett Allen,Brooklyn Nets (BKN),True,USA,2017,2,6ft 11in,110.2 kg,1998-04-21
1628443,Kadeem Allen,New York Knicks (NYK),True,USA,2017,2,6ft 1in,90.7 kg,1993-01-15
202329,Al-Farouq Aminu,Orlando Magic (ORL),True,USA,2010,9,6ft 8in,99.8 kg,1990-09-21
203937,Kyle Anderson,Memphis Grizzlies (MEM),True,USA,2014,5,6ft 9in,104.3 kg,1993-09-20
203507,Giannis Antetokounmpo,Milwaukee Bucks (MIL),True,Greece,2013,6,6ft 11in,109.8 kg,1994-12-06
1628961,Kostas Antetokounmpo,Los Angeles Lakers (LAL),True,Greece,2018,1,6ft 10in,90.7 kg,1997-11-20
203648,Thanasis Antetokounmpo,Milwaukee Bucks (MIL),True,Greece,2015,1,6ft 6in,99.3 kg,1992-07-18
2546,Carmelo Anthony,Portland Trail Blazers (POR),True,USA,2003,16,6ft 8in,108.0 kg,1984-05-29
1628384,OG Anunoby,Toronto Raptors (TOR),True,United Kingdom,2017,2,6ft 7in,105.2 kg,1997-07-17
1627853,Ryan Arcidiacono,Chicago Bulls (CHI),True,USA,2017,2,6ft 3in,88.5 kg,1994-03-26
2772,Trevor Ariza,Portland Trail Blazers (POR),True,USA,2004,15,6ft 8in,97.5 kg,1985-06-30
201571,D.J. Augustin,Orlando Magic (ORL),True,USA,2008,11,5ft 11in,83.0 kg,1987-11-10
1629028,Deandre Ayton,Phoenix Suns (PHX),True,Bahamas,2018,1,6ft 11in,113.4 kg,1998-07-23
1628407,Dwayne Bacon,Charlotte Hornets (CHA),True,USA,2017,2,6ft 6in,100.2 kg,1995-08-30
1628963,Marvin Bagley III,Sacramento Kings (SAC),True,USA,2018,1,6ft 11in,106.6 kg,1999-03-14
1628366,Lonzo Ball,New Orleans Pelicans (NOP),True,USA,2017,2,6ft 6in,86.2 kg,1997-10-27
1628964,Mo Bamba,Orlando Magic (ORL),True,USA,2018,1,7ft 0in,104.8 kg,1998-05-12
200826,J.J. Barea,Dallas Mavericks (DAL),True,Puerto Rico,2006,13,5ft 10in,81.6 kg,1984-06-26
203084,Harrison Barnes,Sacramento Kings (SAC),True,USA,2012,7,6ft 8in,102.1 kg,1992-05-30
1629628,RJ Barrett,New York Knicks (NYK),True,Canada,2019,0,6ft 6in,97.1 kg,2000-06-14
203115,Will Barton,Denver Nuggets (DEN),True,USA,2012,7,6ft 5in,82.1 kg,1991-01-06
1628966,Keita Bates-Diop,Denver Nuggets (DEN),True,USA,2018,1,6ft 8in,103.9 kg,1996-01-23
201587,Nicolas Batum,Charlotte Hornets (CHA),True,France,2008,11,6ft 9in,104.3 kg,1988-12-14
203382,Aron Baynes,Phoenix Suns (PHX),True,Australia,2012,7,6ft 10in,117.9 kg,1986-12-09
203145,Kent Bazemore,Sacramento Kings (SAC),True,USA,2012,7,6ft 4in,88.5 kg,1989-07-01
1629647,Darius Bazley,Oklahoma City Thunder (OKC),True,USA,2019,0,6ft 8in,94.3 kg,2000-06-12
203078,Bradley Beal,Washington Wizards (WAS),True,USA,2012,7,6ft 3in,93.9 kg,1993-06-28
1627736,Malik Beasley,Minnesota Timberwolves (MIN),True,USA,2016,3,6ft 4in,84.8 kg,1996-11-26
201158,Marco Belinelli,San Antonio Spurs (SAS),True,Italy,2007,12,6ft 5in,99.8 kg,1986-03-25
1627761,DeAndre' Bembry,Atlanta Hawks (ATL),True,USA,2016,3,6ft 5in,95.3 kg,1994-07-04
1627733,Dragan Bender,Golden State Warriors (GSW),True,Croatia,2016,3,7ft 0in,112.9 kg,1997-11-17
202722,Davis Bertans,Washington Wizards (WAS),True,Latvia,2016,3,6ft 10in,102.1 kg,1992-11-12
201976,Patrick Beverley,Los Angeles Clippers (LAC),True,USA,2012,7,6ft 1in,81.6 kg,1988-07-12
203920,Khem Birch,Orlando Magic (ORL),True,Canada,2017,2,6ft 9in,105.7 kg,1992-09-28
1629048,Goga Bitadze,Indiana Pacers (IND),True,Georgia,2019,0,6ft 11in,113.4 kg,1999-07-20
