name,year,team,games_played,ftm,fta,tpa
Al-Farouq Aminu,2011,San Antonio Spurs (SAS),55,223,274,11
Al-Farouq Aminu,2011,Orlando Magic (ORL),66,86,114,47
Al-Farouq Aminu,2011,Orlando Magic (ORL),48,105,120,179
Al-Farouq Aminu,2011,Portland Trail Blazers (POR),55,295,367,203
Al-Farouq Aminu,2011,Dallas Mavericks (DAL),41,76,98,143
Al-Farouq Aminu,2011,Portland Trail Blazers (POR),41,79,102,87
Al-Farouq Aminu,2011,Charlotte Hornets (CHA),59,133,159,274
Al-Farouq Aminu,2011,San Antonio Spurs (SAS),66,101,129,284
Al-Farouq Aminu,2011,Charlotte Hornets (CHA),63,69,143,0
Al-Farouq Aminu,2011,Milwaukee Bucks (MIL),40,28,44,30
Al-Farouq Aminu,2011,Los Angeles Lakers (LAL),64,62,78,54
Al-Farouq Aminu,2011,Philadelphia 76ers (PHI),59,104,143,45
Al-Farouq Aminu,2011,Miami Heat (MIA),42,43,56,11
Al-Farouq Aminu,2011,Houston Rockets (HOU),20,14,16,19
Al-Farouq Aminu,2011,Atlanta Hawks (ATL),61,95,115,205
Al-Farouq Aminu,2011,Houston Rockets (HOU),62,217,315,2
Al-Farouq Aminu,2010,Brooklyn Nets (BKN),21,34,42,75
Al-Farouq Aminu,2011,Utah Jazz (UTA),62,136,158,159
Al-Farouq Aminu,2011,Golden State Warriors (GSW),26,38,47,121
Al-Farouq Aminu,2011,Utah Jazz (UTA),66,71,106,1
Al-Farouq Aminu,2011,San Antonio Spurs (SAS),63,268,331,92
Al-Farouq Aminu,2011,Los Angeles Lakers (LAL),65,119,164,209
Al-Farouq Aminu,2011,New York Knicks (NYK),51,32,40,108
Al-Farouq Aminu,2010,Brooklyn Nets (BKN),78,594,675,414
Al-Farouq Aminu,2011,Miami Heat (MIA),66,153,190,202
Al-Farouq Aminu,2011,New Orleans Pelicans (NOP),65,126,194,0
Al-Farouq Aminu,2010,Oklahoma City Thunder (OKC),14,78,101,54
Al-Farouq Aminu,2011,Toronto Raptors (TOR),65,237,317,12
Al-Farouq Aminu,2011,San Antonio Spurs (SAS),65,208,263,173
Al-Farouq Aminu,2011,Los Angeles Clippers (LAC),66,146,182,234
Al-Farouq Aminu,2011,New York Knicks (NYK),63,84,135,0
Al-Farouq Aminu,2011,Houston Rockets (HOU),9,49,65,40
Al-Farouq Aminu,2011,Los Angeles Lakers (LAL),66,79,100,234
