name,year,team,games_played,ftm,fta,tpa
Bam Adebayo,2018,Memphis Grizzlies (MEM),38,45,60,99
Bam Adebayo,2018,New York Knicks (NYK),19,42,54,36
Bam Adebayo,2018,Brooklyn Nets (BKN),80,197,278,45
Bam Adebayo,2018,San Antonio Spurs (SAS),81,349,412,42
Bam Adebayo,2018,Orlando Magic (ORL),81,150,173,280
Bam Adebayo,2018,Oklahoma City Thunder (OKC),80,146,292,2
Bam Adebayo,2018,Miami Heat (MIA),82,166,226,15
Bam Adebayo,2018,Memphis Grizzlies (MEM),43,37,64,34
Bam Adebayo,2018,Los Angeles Lakers (LAL),2,2,4,0
Bam Adebayo,2018,Milwaukee Bucks (MIL),72,500,686,203
Bam Adebayo,2015,Milwaukee Bucks (MIL),2,0,0,1
Bam Adebayo,2018,Orlando Magic (ORL),81,181,209,311
Bam Adebayo,2018,Charlotte Hornets (CHA),43,34,46,87
Bam Adebayo,2018,Sacramento Kings (SAC),62,181,262,96
Bam Adebayo,2018,Toronto Raptors (TOR),67,36,62,202
Bam Adebayo,2018,Chicago Bulls (CHI),81,89,102,217
Bam Adebayo,2018,Portland Trail Blazers (POR),10,15,22,64
Bam Adebayo,2018,Orlando Magic (ORL),47,37,63,70
Bam Adebayo,2018,Dallas Mavericks (DAL),38,55,78,128
Bam Adebayo,2018,Sacramento Kings (SAC),28,64,80,130
Bam Adebayo,2018,Portland Trail Blazers (POR),43,94,121,295
Bam Adebayo,2018,Phoenix Suns (PHX),71,141,189,4
Bam Adebayo,2018,Denver Nuggets (DEN),43,57,74,196
Bam Adebayo,2018,New Orleans Pelicans (NOP),47,20,48,228
Bam Adebayo,2018,Denver Nuggets (DEN),30,18,28,52
Bam Adebayo,2018,Sacramento Kings (SAC),67,127,175,300
Bam Adebayo,2018,Phoenix Suns (PHX),51,53,62,61
Bam Adebayo,2018,Washington Wizards (WAS),82,362,448,596
Bam Adebayo,2018,Atlanta Hawks (ATL),82,87,136,173
Bam Adebayo,2018,Washington Wizards (WAS),76,53,60,338
Bam Adebayo,2018,Minnesota Timberwolves (MIN),81,56,66,405
Bam Adebayo,2018,Los Angeles Clippers (LAC),78,96,123,282
Bam Adebayo,2018,Charlotte Hornets (CHA),75,77,89,298
Bam Adebayo,2018,San Antonio Spurs (SAS),79,112,124,395
Bam Adebayo,2018,Charlotte Hornets (CHA),54,58,91,0
Bam Adebayo,2018,Golden State Warriors (GSW),46,32,54,101
Bam Adebayo,2018,Sacramento Kings (SAC),77,70,92,257
Bam Adebayo,2018,Utah Jazz (UTA),81,246,305,386
Bam Adebayo,2018,Sacramento Kings (SAC),70,134,162,372
Bam Adebayo,2018,Orlando Magic (ORL),50,58,83,1
Bam Adebayo,2018,Toronto Raptors (TOR),28,13,15,37
Bam Adebayo,2018,Milwaukee Bucks (MIL),78,177,236,377
Bam Adebayo,2018,Phoenix Suns (PHX),64,393,454,414
Bam Adebayo,2018,Washington Wizards (WAS),22,9,15,8
Bam Adebayo,2018,Utah Jazz (UTA),3,1,2,0
Bam Adebayo,2018,Los Angeles Lakers (LAL),14,23,25,73
Bam Adebayo,2018,Phoenix Suns (PHX),82,95,118,313
Bam Adebayo,2018,Charlotte Hornets (CHA),80,58,77,200
Bam Adebayo,2018,Memphis Grizzlies (MEM),18,22,30,40
Bam Adebayo,2018,Detroit Pistons (DET),74,45,60,93
Bam Adebayo,2018,Milwaukee Bucks (MIL),58,29,42,147
Bam Adebayo,2018,Indiana Pacers (IND),64,141,152,244
Bam Adebayo,2018,Washington Wizards (WAS),72,107,137,99
Bam Adebayo,2018,Boston Celtics (BOS),74,133,202,276
Bam Adebayo,2018,Philadelphia 76ers (PHI),13,4,5,6
Bam Adebayo,2018,Oklahoma City Thunder (OKC),32,8,12,27
Bam Adebayo,2018,Washington Wizards (WAS),52,32,47,69
Bam Adebayo,2018,Houston Rockets (HOU),34,42,50,130
Bam Adebayo,2018,New York Knicks (NYK),19,17,21,99
Bam Adebayo,2018,Dallas Mavericks (DAL),73,87,120,181
