name,year,team,games_played,ftm,fta,tpa
Carmelo Anthony,2006,San Antonio Spurs (SAS),63,83,115,2
Carmelo Anthony,2006,Portland Trail Blazers (POR),65,459,568,149
Carmelo Anthony,2006,Dallas Mavericks (DAL),33,16,24,21
Carmelo Anthony,2006,Portland Trail Blazers (POR),57,106,171,7
Carmelo Anthony,2006,Atlanta Hawks (ATL),82,462,576,437
Carmelo Anthony,2006,Houston Rockets (HOU),73,106,201,1
Carmelo Anthony,2006,San Antonio Spurs (SAS),78,152,209,143
Carmelo Anthony,2006,Miami Heat (MIA),79,138,203,4
Carmelo Anthony,2006,Los Angeles Lakers (LAL),82,390,666,2
Carmelo Anthony,2006,Miami Heat (MIA),76,452,551,155
Carmelo Anthony,2006,Los Angeles Lakers (LAL),78,489,701,310
Carmelo Anthony,2006,Milwaukee Bucks (MIL),74,191,209,307
Carmelo Anthony,2006,Toronto Raptors (TOR),10,25,28,8
Carmelo Anthony,2006,Denver Nuggets (DEN),82,140,208,3
Carmelo Anthony,2006,Oklahoma City Thunder (OKC),64,292,357,143
Carmelo Anthony,2006,New Orleans Pelicans (NOP),42,54,60,98
Carmelo Anthony,2006,Los Angeles Lakers (LAL),78,119,184,29
Carmelo Anthony,2006,Houston Rockets (HOU),71,23,45,42
Carmelo Anthony,2006,Los Angeles Clippers (LAC),61,64,92,37
Carmelo Anthony,2006,Milwaukee Bucks (MIL),64,216,265,45
Carmelo Anthony,2006,Washington Wizards (WAS),37,14,23,32
Carmelo Anthony,2005,Portland Trail Blazers (POR),80,425,617,12
Carmelo Anthony,2005,Atlanta Hawks (ATL),1,0,0,0
