name,year,team,games_played,ftm,fta,tpa
Giannis Antetokounmpo,2009,San Antonio Spurs (SAS),78,230,304,16
Giannis Antetokounmpo,2009,Orlando Magic (ORL),80,102,131,178
Giannis Antetokounmpo,2009,Portland Trail Blazers (POR),69,508,612,187
Giannis Antetokounmpo,2009,Dallas Mavericks (DAL),78,76,90,157
Giannis Antetokounmpo,2009,Portland Trail Blazers (POR),72,148,228,407
Giannis Antetokounmpo,2009,Charlotte Hornets (CHA),37,43,51,132
Giannis Antetokounmpo,2009,San Antonio Spurs (SAS),66,101,121,158
Giannis Antetokounmpo,2009,Houston Rockets (HOU),71,33,53,6
Giannis Antetokounmpo,2009,Atlanta Hawks (ATL),75,257,306,324
Giannis Antetokounmpo,2009,Houston Rockets (HOU),51,115,157,0
Giannis Antetokounmpo,2008,Brooklyn Nets (BKN),82,171,215,314
Giannis Antetokounmpo,2009,Utah Jazz (UTA),80,139,187,212
Giannis Antetokounmpo,2009,Golden State Warriors (GSW),80,177,200,380
Giannis Antetokounmpo,2009,San Antonio Spurs (SAS),77,148,194,16
Giannis Antetokounmpo,2009,Los Angeles Lakers (LAL),82,104,138,262
Giannis Antetokounmpo,2009,New York Knicks (NYK),76,61,70,162
Giannis Antetokounmpo,2008,Brooklyn Nets (BKN),74,452,524,230
Giannis Antetokounmpo,2009,Miami Heat (MIA),80,117,159,188
Giannis Antetokounmpo,2008,Oklahoma City Thunder (OKC),28,26,27,72
Giannis Antetokounmpo,2009,Toronto Raptors (TOR),69,252,376,1
Giannis Antetokounmpo,2009,San Antonio Spurs (SAS),80,301,400,202
Giannis Antetokounmpo,2009,New York Knicks (NYK),82,113,175,0
Giannis Antetokounmpo,2009,Houston Rockets (HOU),62,222,299,321
Giannis Antetokounmpo,2009,Los Angeles Lakers (LAL),20,4,6,22
Giannis Antetokounmpo,2008,Houston Rockets (HOU),78,242,307,247
Giannis Antetokounmpo,2009,Houston Rockets (HOU),76,194,240,248
Giannis Antetokounmpo,2009,Miami Heat (MIA),78,147,193,0
Giannis Antetokounmpo,2009,Milwaukee Bucks (MIL),78,183,237,188
Giannis Antetokounmpo,2009,New Orleans Pelicans (NOP),73,65,86,159
Giannis Antetokounmpo,2009,Philadelphia 76ers (PHI),81,213,270,1
Giannis Antetokounmpo,2009,Los Angeles Lakers (LAL),82,483,816,7
Giannis Antetokounmpo,2009,Toronto Raptors (TOR),73,58,92,2
Giannis Antetokounmpo,2009,Miami Heat (MIA),82,315,430,303
Giannis Antetokounmpo,2009,Milwaukee Bucks (MIL),81,113,158,241
Giannis Antetokounmpo,2009,Los Angeles Lakers (LAL),76,593,773,387
Giannis Antetokounmpo,2009,Minnesota Timberwolves (MIN),65,51,70,46
Giannis Antetokounmpo,2009,Brooklyn Nets (BKN),70,48,128,2
Giannis Antetokounmpo,2009,Milwaukee Bucks (MIL),52,39,49,110
Giannis Antetokounmpo,2009,Dallas Mavericks (DAL),71,133,153,225
Giannis Antetokounmpo,2009,Milwaukee Bucks (MIL),82,416,509,2
Giannis Antetokounmpo,2009,Toronto Raptors (TOR),68,215,260,136
Giannis Antetokounmpo,2009,Cleveland Cavaliers (CLE),60,225,276,106
Giannis Antetokounmpo,2009,Washington Wizards (WAS),26,31,47,0
Giannis Antetokounmpo,2009,Milwaukee Bucks (MIL),51,88,125,0
Giannis Antetokounmpo,2009,Milwaukee Bucks (MIL),82,160,193,165
Giannis Antetokounmpo,2009,Los Angeles Lakers (LAL),60,74,116,1
Giannis Antetokounmpo,2009,Denver Nuggets (DEN),82,183,264,9
Giannis Antetokounmpo,2009,San Antonio Spurs (SAS),10,4,7,4
Giannis Antetokounmpo,2008,Los Angeles Clippers (LAC),80,123,182,1
Giannis Antetokounmpo,2009,Oklahoma City Thunder (OKC),45,161,190,127
Giannis Antetokounmpo,2009,New Orleans Pelicans (NOP),82,191,222,274
Giannis Antetokounmpo,2009,Los Angeles Lakers (LAL),81,175,282,80
Giannis Antetokounmpo,2008,Detroit Pistons (DET),81,197,250,72
Giannis Antetokounmpo,2009,Houston Rockets (HOU),82,60,89,131
Giannis Antetokounmpo,2009,Atlanta Hawks (ATL),71,41,49,32
Giannis Antetokounmpo,2009,Houston Rockets (HOU),82,329,422,104
Giannis Antetokounmpo,2009,Los Angeles Clippers (LAC),64,192,233,206
Giannis Antetokounmpo,2009,Milwaukee Bucks (MIL),81,176,215,132
Giannis Antetokounmpo,2009,Chicago Bulls (CHI),67,114,165,138
Giannis Antetokounmpo,2009,Washington Wizards (WAS),63,66,95,217
Giannis Antetokounmpo,2006,Denver Nuggets (DEN),81,128,159,258
Giannis Antetokounmpo,2009,Memphis Grizzlies (MEM),44,103,134,151
Giannis Antetokounmpo,2009,Houston Rockets (HOU),63,71,82,211
Giannis Antetokounmpo,2008,Portland Trail Blazers (POR),81,343,439,2
Giannis Antetokounmpo,2008,Atlanta Hawks (ATL),77,266,368,5
