name,year,team,games_played,ftm,fta,tpa
Grayson Allen,2014,San Antonio Spurs (SAS),71,306,362,105
Grayson Allen,2014,Orlando Magic (ORL),74,84,118,124
Grayson Allen,2014,Oklahoma City Thunder (OKC),70,103,205,2
Grayson Allen,2014,Memphis Grizzlies (MEM),33,9,14,11
Grayson Allen,2014,Milwaukee Bucks (MIL),81,257,347,44
Grayson Allen,2014,Orlando Magic (ORL),28,31,36,96
Grayson Allen,2014,Portland Trail Blazers (POR),40,189,237,179
Grayson Allen,2014,Dallas Mavericks (DAL),77,76,94,167
Grayson Allen,2014,Sacramento Kings (SAC),82,108,150,215
Grayson Allen,2014,Portland Trail Blazers (POR),82,122,143,555
Grayson Allen,2014,Denver Nuggets (DEN),28,64,79,67
Grayson Allen,2014,Sacramento Kings (SAC),75,60,100,132
Grayson Allen,2014,Phoenix Suns (PHX),70,90,104,4
Grayson Allen,2014,Washington Wizards (WAS),63,130,166,259
Grayson Allen,2014,Los Angeles Clippers (LAC),56,45,60,323
Grayson Allen,2014,Charlotte Hornets (CHA),71,84,98,309
Grayson Allen,2014,San Antonio Spurs (SAS),62,84,99,230
Grayson Allen,2014,Charlotte Hornets (CHA),64,102,175,0
Grayson Allen,2014,Utah Jazz (UTA),78,87,106,256
Grayson Allen,2014,Milwaukee Bucks (MIL),81,353,441,272
Grayson Allen,2014,Los Angeles Lakers (LAL),77,79,100,352
Grayson Allen,2014,Philadelphia 76ers (PHI),27,106,129,68
Grayson Allen,2014,Houston Rockets (HOU),8,0,0,3
Grayson Allen,2014,New York Knicks (NYK),11,2,4,7
Grayson Allen,2014,Miami Heat (MIA),65,386,463,193
Grayson Allen,2014,Atlanta Hawks (ATL),12,4,23,0
Grayson Allen,2014,Houston Rockets (HOU),70,127,181,304
Grayson Allen,2014,Atlanta Hawks (ATL),66,45,57,232
Grayson Allen,2014,Los Angeles Lakers (LAL),82,110,158,444
Grayson Allen,2014,Houston Rockets (HOU),75,185,257,0
Grayson Allen,2013,Brooklyn Nets (BKN),62,110,152,351
Grayson Allen,2014,Orlando Magic (ORL),25,85,109,28
Grayson Allen,2014,Utah Jazz (UTA),59,131,158,121
Grayson Allen,2014,Utah Jazz (UTA),70,214,249,277
Grayson Allen,2014,Houston Rockets (HOU),70,178,217,446
Grayson Allen,2014,Golden State Warriors (GSW),80,308,337,646
Grayson Allen,2014,Utah Jazz (UTA),79,92,189,0
Grayson Allen,2014,Los Angeles Lakers (LAL),68,371,461,12
Grayson Allen,2014,Denver Nuggets (DEN),11,6,7,36
Grayson Allen,2014,Atlanta Hawks (ATL),59,34,64,1
Grayson Allen,2013,Dallas Mavericks (DAL),1,0,0,1
Grayson Allen,2014,Cleveland Cavaliers (CLE),67,29,38,167
Grayson Allen,2014,Miami Heat (MIA),57,99,130,170
Grayson Allen,2014,Brooklyn Nets (BKN),34,31,34,65
Grayson Allen,2014,Memphis Grizzlies (MEM),73,191,244,6
Grayson Allen,2014,San Antonio Spurs (SAS),60,361,434,88
Grayson Allen,2014,Cleveland Cavaliers (CLE),82,142,365,2
Grayson Allen,2014,Los Angeles Lakers (LAL),72,48,67,192
Grayson Allen,2014,New York Knicks (NYK),65,52,64,243
Grayson Allen,2013,Brooklyn Nets (BKN),81,703,805,491
Grayson Allen,2014,Miami Heat (MIA),26,84,104,73
Grayson Allen,2014,New Orleans Pelicans (NOP),74,222,332,6
Grayson Allen,2014,Orlando Magic (ORL),58,107,147,225
Grayson Allen,2014,Orlando Magic (ORL),62,79,94,95
Grayson Allen,2014,Oklahoma City Thunder (OKC),59,171,191,301
Grayson Allen,2014,Detroit Pistons (DET),45,63,78,176
Grayson Allen,2014,Toronto Raptors (TOR),81,350,440,17
Grayson Allen,2014,San Antonio Spurs (SAS),68,337,393,220
Grayson Allen,2014,Los Angeles Clippers (LAC),6,8,11,22
Grayson Allen,2014,New York Knicks (NYK),62,132,184,0
Grayson Allen,2014,Orlando Magic (ORL),47,44,61,48
Grayson Allen,2014,Houston Rockets (HOU),61,107,133,315
Grayson Allen,2014,Los Angeles Lakers (LAL),81,111,127,457
Grayson Allen,2014,Golden State Warriors (GSW),79,132,200,329
Grayson Allen,2014,Utah Jazz (UTA),82,170,273,2
Grayson Allen,2014,Denver Nuggets (DEN),65,114,193,156
Grayson Allen,2014,Detroit Pistons (DET),67,311,427,25
Grayson Allen,2014,Houston Rockets (HOU),45,118,143,138
Grayson Allen,2014,Los Angeles Clippers (LAC),20,8,10,4
Grayson Allen,2014,Houston Rockets (HOU),81,715,824,555
Grayson Allen,2014,New York Knicks (NYK),45,22,41,56
Grayson Allen,2014,Dallas Mavericks (DAL),70,125,156,354
Grayson Allen,2014,Denver Nuggets (DEN),55,35,47,103
Grayson Allen,2014,Philadelphia 76ers (PHI),68,193,245,239
Grayson Allen,2014,Brooklyn Nets (BKN),51,9,15,84
Grayson Allen,2014,Detroit Pistons (DET),67,78,137,0
Grayson Allen,2014,Miami Heat (MIA),62,45,64,10
Grayson Allen,2014,Boston Celtics (BOS),76,375,462,330
Grayson Allen,2014,Milwaukee Bucks (MIL),43,113,143,193
Grayson Allen,2014,Miami Heat (MIA),82,159,193,208
Grayson Allen,2014,New Orleans Pelicans (NOP),40,65,76,135
Grayson Allen,2014,Indiana Pacers (IND),59,37,45,109
Grayson Allen,2014,Philadelphia 76ers (PHI),76,107,141,36
Grayson Allen,2014,Los Angeles Lakers (LAL),41,143,271,2
Grayson Allen,2014,Portland Trail Blazers (POR),50,61,80,170
Grayson Allen,2014,Toronto Raptors (TOR),64,92,110,205
Grayson Allen,2014,Miami Heat (MIA),77,68,114,212
Grayson Allen,2014,Brooklyn Nets (BKN),75,315,365,378
Grayson Allen,2014,Milwaukee Bucks (MIL),58,69,107,190
Grayson Allen,2014,Utah Jazz (UTA),79,30,40,202
Grayson Allen,2014,Los Angeles Clippers (LAC),27,82,103,83
Grayson Allen,2014,Los Angeles Lakers (LAL),69,375,528,339
Grayson Allen,2014,Minnesota Timberwolves (MIN),70,67,102,51
Grayson Allen,2014,Brooklyn Nets (BKN),82,187,471,4
Grayson Allen,2014,Sacramento Kings (SAC),79,105,143,44
Grayson Allen,2014,Boston Celtics (BOS),26,90,116,4
Grayson Allen,2013,Detroit Pistons (DET),72,259,323,338
Grayson Allen,2014,Milwaukee Bucks (MIL),75,106,118,449
Grayson Allen,2014,Dallas Mavericks (DAL),55,150,214,0
Grayson Allen,2014,Dallas Mavericks (DAL),77,111,129,224
Grayson Allen,2014,Chicago Bulls (CHI),77,149,177,167
Grayson Allen,2014,Indiana Pacers (IND),47,49,55,111
Grayson Allen,2014,Miami Heat (MIA),55,30,32,112
Grayson Allen,2014,Portland Trail Blazers (POR),82,344,398,572
Grayson Allen,2014,Los Angeles Clippers (LAC),64,202,252,192
Grayson Allen,2014,Milwaukee Bucks (MIL),72,223,274,10
Grayson Allen,2014,Sacramento Kings (SAC),69,73,104,3
Grayson Allen,2014,Toronto Raptors (TOR),70,252,312,391
Grayson Allen,2014,Cleveland Cavaliers (CLE),75,258,321,392
Grayson Allen,2014,Washington Wizards (WAS),61,31,102,0
Grayson Allen,2014,Milwaukee Bucks (MIL),59,98,127,1
Grayson Allen,2014,Portland Trail Blazers (POR),62,51,73,139
Grayson Allen,2014,Milwaukee Bucks (MIL),60,109,145,445
Grayson Allen,2014,Indiana Pacers (IND),36,10,15,41
Grayson Allen,2014,Los Angeles Lakers (LAL),6,2,4,0
Grayson Allen,2014,Houston Rockets (HOU),82,130,160,391
Grayson Allen,2014,Milwaukee Bucks (MIL),79,134,156,268
Grayson Allen,2014,Denver Nuggets (DEN),73,255,337,216
Grayson Allen,2014,San Antonio Spurs (SAS),51,33,40,182
Grayson Allen,2014,New Orleans Pelicans (NOP),56,12,20,38
Grayson Allen,2014,Los Angeles Lakers (LAL),82,177,232,179
Grayson Allen,2014,Los Angeles Clippers (LAC),81,71,113,313
Grayson Allen,2014,Oklahoma City Thunder (OKC),40,22,25,22
Grayson Allen,2014,Washington Wizards (WAS),51,44,56,118
Grayson Allen,2013,Los Angeles Clippers (LAC),80,247,335,2
Grayson Allen,2014,Oklahoma City Thunder (OKC),75,140,230,0
Grayson Allen,2014,Philadelphia 76ers (PHI),51,44,57,43
Grayson Allen,2014,Miami Heat (MIA),64,93,136,175
Grayson Allen,2014,Indiana Pacers (IND),72,262,320,248
Grayson Allen,2014,Sacramento Kings (SAC),25,46,66,16
Grayson Allen,2014,Los Angeles Clippers (LAC),81,63,80,283
Grayson Allen,2014,New York Knicks (NYK),82,118,214,42
Grayson Allen,2014,Oklahoma City Thunder (OKC),82,289,321,349
Grayson Allen,2014,Denver Nuggets (DEN),82,157,317,3
Grayson Allen,2014,Chicago Bulls (CHI),74,58,79,104
Grayson Allen,2014,Dallas Mavericks (DAL),24,24,31,11
Grayson Allen,2014,New York Knicks (NYK),1,0,2,0
Grayson Allen,2014,New Orleans Pelicans (NOP),78,183,203,458
Grayson Allen,2014,Houston Rockets (HOU),41,32,55,81
