name,year,team,games_played,ftm,fta,tpa
Jarrett Allen,2013,San Antonio Spurs (SAS),69,296,360,15
Jarrett Allen,2013,Orlando Magic (ORL),80,91,137,48
Jarrett Allen,2013,Oklahoma City Thunder (OKC),81,79,136,0
Jarrett Allen,2013,Milwaukee Bucks (MIL),77,138,202,118
Jarrett Allen,2013,Orlando Magic (ORL),61,195,221,321
Jarrett Allen,2013,Portland Trail Blazers (POR),77,459,541,415
Jarrett Allen,2013,Dallas Mavericks (DAL),79,79,100,231
Jarrett Allen,2013,Sacramento Kings (SAC),78,130,181,190
Jarrett Allen,2013,Portland Trail Blazers (POR),77,149,193,442
Jarrett Allen,2013,Denver Nuggets (DEN),41,26,32,33
Jarrett Allen,2013,Sacramento Kings (SAC),23,47,73,89
Jarrett Allen,2013,Phoenix Suns (PHX),53,19,21,0
Jarrett Allen,2013,Washington Wizards (WAS),73,149,189,343
Jarrett Allen,2013,Los Angeles Clippers (LAC),56,83,102,255
Jarrett Allen,2013,Charlotte Hornets (CHA),82,163,203,402
Jarrett Allen,2013,San Antonio Spurs (SAS),80,111,131,293
Jarrett Allen,2013,Charlotte Hornets (CHA),77,46,89,0
Jarrett Allen,2013,Milwaukee Bucks (MIL),43,183,237,140
Jarrett Allen,2013,Los Angeles Lakers (LAL),60,90,112,200
Jarrett Allen,2013,Philadelphia 76ers (PHI),78,279,373,143
Jarrett Allen,2013,New York Knicks (NYK),43,7,9,73
Jarrett Allen,2013,Miami Heat (MIA),67,260,338,240
Jarrett Allen,2013,Houston Rockets (HOU),73,109,141,268
Jarrett Allen,2013,Atlanta Hawks (ATL),81,161,196,371
Jarrett Allen,2013,Los Angeles Lakers (LAL),80,47,61,185
Jarrett Allen,2013,Houston Rockets (HOU),55,98,155,1
Jarrett Allen,2012,Brooklyn Nets (BKN),43,88,111,126
Jarrett Allen,2013,Orlando Magic (ORL),70,258,367,208
Jarrett Allen,2013,Utah Jazz (UTA),73,225,276,291
Jarrett Allen,2013,Houston Rockets (HOU),7,0,0,11
Jarrett Allen,2013,Golden State Warriors (GSW),78,308,348,615
Jarrett Allen,2013,Utah Jazz (UTA),63,47,89,0
Jarrett Allen,2013,Los Angeles Lakers (LAL),67,348,440,9
Jarrett Allen,2013,Denver Nuggets (DEN),5,0,0,25
Jarrett Allen,2013,Atlanta Hawks (ATL),16,13,17,0
Jarrett Allen,2013,Cleveland Cavaliers (CLE),72,38,48,155
Jarrett Allen,2013,Miami Heat (MIA),78,46,61,151
Jarrett Allen,2013,Memphis Grizzlies (MEM),60,59,93,1
Jarrett Allen,2013,San Antonio Spurs (SAS),79,519,630,210
Jarrett Allen,2013,Cleveland Cavaliers (CLE),81,137,328,2
Jarrett Allen,2013,Los Angeles Lakers (LAL),74,38,58,225
Jarrett Allen,2013,New York Knicks (NYK),45,10,11,59
Jarrett Allen,2012,Brooklyn Nets (BKN),81,679,750,334
Jarrett Allen,2013,Miami Heat (MIA),76,316,416,299
Jarrett Allen,2013,New Orleans Pelicans (NOP),73,190,284,1
Jarrett Allen,2013,Orlando Magic (ORL),76,93,123,237
Jarrett Allen,2012,Oklahoma City Thunder (OKC),71,286,348,362
Jarrett Allen,2013,Toronto Raptors (TOR),59,185,241,11
Jarrett Allen,2013,San Antonio Spurs (SAS),55,250,299,138
Jarrett Allen,2013,Los Angeles Clippers (LAC),80,401,464,500
Jarrett Allen,2013,New York Knicks (NYK),82,211,281,7
Jarrett Allen,2013,Houston Rockets (HOU),64,175,223,258
Jarrett Allen,2013,Los Angeles Lakers (LAL),68,50,63,318
Jarrett Allen,2013,Golden State Warriors (GSW),82,82,123,165
Jarrett Allen,2013,Utah Jazz (UTA),45,32,65,0
Jarrett Allen,2013,Detroit Pistons (DET),80,482,674,44
Jarrett Allen,2013,Houston Rockets (HOU),82,283,356,396
Jarrett Allen,2013,Houston Rockets (HOU),73,576,665,483
Jarrett Allen,2013,New York Knicks (NYK),80,85,143,154
Jarrett Allen,2013,Dallas Mavericks (DAL),81,106,128,358
Jarrett Allen,2013,Philadelphia 76ers (PHI),61,197,244,126
Jarrett Allen,2013,Detroit Pistons (DET),70,91,177,1
Jarrett Allen,2013,Miami Heat (MIA),46,25,44,0
Jarrett Allen,2013,Boston Celtics (BOS),77,311,381,280
Jarrett Allen,2013,Milwaukee Bucks (MIL),76,142,176,260
Jarrett Allen,2013,Miami Heat (MIA),28,6,7,23
