name,year,team,games_played,ftm,fta,tpa
Kadeem Allen,2012,San Antonio Spurs (SAS),74,282,348,14
Kadeem Allen,2012,Orlando Magic (ORL),76,101,137,19
Kadeem Allen,2012,Orlando Magic (ORL),76,83,99,190
Kadeem Allen,2012,Portland Trail Blazers (POR),67,425,512,414
Kadeem Allen,2012,Dallas Mavericks (DAL),74,105,134,280
Kadeem Allen,2012,Sacramento Kings (SAC),81,144,190,145
Kadeem Allen,2012,Portland Trail Blazers (POR),56,78,95,209
Kadeem Allen,2012,Denver Nuggets (DEN),73,50,65,65
Kadeem Allen,2012,Sacramento Kings (SAC),61,27,44,34
Kadeem Allen,2012,Phoenix Suns (PHX),16,7,12,1
Kadeem Allen,2012,Washington Wizards (WAS),56,125,159,236
Kadeem Allen,2012,Los Angeles Clippers (LAC),41,34,41,96
Kadeem Allen,2012,Charlotte Hornets (CHA),73,178,210,444
Kadeem Allen,2012,San Antonio Spurs (SAS),73,141,168,221
Kadeem Allen,2012,Charlotte Hornets (CHA),80,74,142,0
Kadeem Allen,2012,Milwaukee Bucks (MIL),76,106,134,78
Kadeem Allen,2012,Los Angeles Lakers (LAL),50,37,49,126
Kadeem Allen,2012,Philadelphia 76ers (PHI),64,92,129,92
Kadeem Allen,2012,Miami Heat (MIA),82,187,233,105
Kadeem Allen,2012,Houston Rockets (HOU),66,75,98,70
Kadeem Allen,2012,Atlanta Hawks (ATL),81,182,223,399
Kadeem Allen,2012,Houston Rockets (HOU),66,179,258,0
Kadeem Allen,2011,Brooklyn Nets (BKN),8,10,12,12
Kadeem Allen,2012,Utah Jazz (UTA),80,234,282,293
Kadeem Allen,2012,Golden State Warriors (GSW),78,262,291,600
Kadeem Allen,2012,Utah Jazz (UTA),36,37,65,0
Kadeem Allen,2012,Los Angeles Lakers (LAL),64,169,225,6
Kadeem Allen,2012,Miami Heat (MIA),78,47,73,192
Kadeem Allen,2012,San Antonio Spurs (SAS),82,355,427,120
Kadeem Allen,2012,Cleveland Cavaliers (CLE),60,59,159,2
Kadeem Allen,2012,Los Angeles Lakers (LAL),79,129,162,271
Kadeem Allen,2012,New York Knicks (NYK),38,53,59,143
Kadeem Allen,2011,Brooklyn Nets (BKN),66,431,501,344
Kadeem Allen,2012,Miami Heat (MIA),77,244,326,276
