name,year,team,games_played,ftm,fta,tpa
Kostas Antetokounmpo,2008,San Antonio Spurs (SAS),81,261,334,28
Kostas Antetokounmpo,2008,Orlando Magic (ORL),72,208,233,246
Kostas Antetokounmpo,2008,Portland Trail Blazers (POR),66,371,468,170
Kostas Antetokounmpo,2008,Dallas Mavericks (DAL),79,70,93,154
Kostas Antetokounmpo,2008,Portland Trail Blazers (POR),82,120,169,191
Kostas Antetokounmpo,2008,Charlotte Hornets (CHA),79,42,52,168
Kostas Antetokounmpo,2008,San Antonio Spurs (SAS),42,40,52,131
Kostas Antetokounmpo,2008,Atlanta Hawks (ATL),80,335,410,392
Kostas Antetokounmpo,2008,Houston Rockets (HOU),45,77,133,0
Kostas Antetokounmpo,2007,Brooklyn Nets (BKN),35,34,54,30
Kostas Antetokounmpo,2008,Utah Jazz (UTA),82,161,197,217
Kostas Antetokounmpo,2008,Los Angeles Lakers (LAL),48,56,81,66
Kostas Antetokounmpo,2007,Brooklyn Nets (BKN),80,391,448,205
Kostas Antetokounmpo,2008,Miami Heat (MIA),55,50,65,54
Kostas Antetokounmpo,2008,Toronto Raptors (TOR),82,275,375,1
Kostas Antetokounmpo,2008,San Antonio Spurs (SAS),79,264,344,242
Kostas Antetokounmpo,2008,Houston Rockets (HOU),78,299,350,337
Kostas Antetokounmpo,2007,Houston Rockets (HOU),80,177,238,76
Kostas Antetokounmpo,2008,Miami Heat (MIA),75,128,170,0
Kostas Antetokounmpo,2008,Milwaukee Bucks (MIL),77,114,146,73
Kostas Antetokounmpo,2008,Philadelphia 76ers (PHI),67,149,205,1
Kostas Antetokounmpo,2008,Los Angeles Lakers (LAL),79,504,849,2
Kostas Antetokounmpo,2008,Miami Heat (MIA),82,377,521,261
Kostas Antetokounmpo,2006,Milwaukee Bucks (MIL),66,70,89,148
Kostas Antetokounmpo,2008,Los Angeles Lakers (LAL),81,594,762,384
Kostas Antetokounmpo,2008,Brooklyn Nets (BKN),53,42,109,0
Kostas Antetokounmpo,2008,Milwaukee Bucks (MIL),78,112,127,267
Kostas Antetokounmpo,2008,Dallas Mavericks (DAL),77,78,94,203
Kostas Antetokounmpo,2008,Milwaukee Bucks (MIL),82,172,217,2
Kostas Antetokounmpo,2008,Toronto Raptors (TOR),28,52,65,29
Kostas Antetokounmpo,2008,Cleveland Cavaliers (CLE),81,265,336,19
Kostas Antetokounmpo,2007,Washington Wizards (WAS),6,9,9,0
Kostas Antetokounmpo,2008,Milwaukee Bucks (MIL),60,47,68,1
Kostas Antetokounmpo,2008,Los Angeles Lakers (LAL),75,107,162,0
Kostas Antetokounmpo,2008,Denver Nuggets (DEN),76,228,326,4
Kostas Antetokounmpo,2007,Los Angeles Clippers (LAC),74,134,194,1
Kostas Antetokounmpo,2008,Oklahoma City Thunder (OKC),78,455,524,176
Kostas Antetokounmpo,2008,New Orleans Pelicans (NOP),64,81,93,179
Kostas Antetokounmpo,2008,Los Angeles Lakers (LAL),80,172,268,48
Kostas Antetokounmpo,2008,Houston Rockets (HOU),23,40,48,37
Kostas Antetokounmpo,2008,Houston Rockets (HOU),82,349,428,129
Kostas Antetokounmpo,2008,Los Angeles Clippers (LAC),81,304,385,220
Kostas Antetokounmpo,2008,Milwaukee Bucks (MIL),61,220,273,155
Kostas Antetokounmpo,2008,Chicago Bulls (CHI),75,139,189,164
Kostas Antetokounmpo,2008,Washington Wizards (WAS),72,78,89,179
Kostas Antetokounmpo,2005,Denver Nuggets (DEN),32,29,37,20
Kostas Antetokounmpo,2008,Memphis Grizzlies (MEM),19,5,10,41
Kostas Antetokounmpo,2008,Houston Rockets (HOU),66,98,116,189
Kostas Antetokounmpo,2007,Portland Trail Blazers (POR),27,116,147,1
Kostas Antetokounmpo,2007,Atlanta Hawks (ATL),16,27,49,1
