name,year,team,games_played,ftm,fta,tpa
Kyle Alexander,2016,San Antonio Spurs (SAS),72,220,271,56
Kyle Alexander,2016,Orlando Magic (ORL),61,96,136,212
Kyle Alexander,2016,Oklahoma City Thunder (OKC),80,157,257,1
Kyle Alexander,2016,Memphis Grizzlies (MEM),72,45,57,40
Kyle Alexander,2016,Milwaukee Bucks (MIL),80,471,612,180
Kyle Alexander,2016,Orlando Magic (ORL),78,131,161,274
Kyle Alexander,2016,Portland Trail Blazers (POR),74,304,365,421
Kyle Alexander,2016,Dallas Mavericks (DAL),35,44,51,148
Kyle Alexander,2016,Sacramento Kings (SAC),79,242,281,222
Kyle Alexander,2016,Portland Trail Blazers (POR),80,93,126,555
Kyle Alexander,2016,Denver Nuggets (DEN),60,143,190,235
Kyle Alexander,2016,Sacramento Kings (SAC),73,119,168,266
Kyle Alexander,2016,Phoenix Suns (PHX),75,79,94,0
Kyle Alexander,2016,Washington Wizards (WAS),77,282,342,552
Kyle Alexander,2016,Atlanta Hawks (ATL),38,6,16,18
Kyle Alexander,2016,Washington Wizards (WAS),67,28,34,173
Kyle Alexander,2016,Minnesota Timberwolves (MIN),22,8,10,28
Kyle Alexander,2016,Los Angeles Clippers (LAC),67,73,95,288
Kyle Alexander,2016,Charlotte Hornets (CHA),77,243,284,405
Kyle Alexander,2016,San Antonio Spurs (SAS),74,150,168,283
Kyle Alexander,2016,Charlotte Hornets (CHA),81,125,234,0
Kyle Alexander,2016,Golden State Warriors (GSW),43,4,11,101
Kyle Alexander,2016,Sacramento Kings (SAC),65,45,61,177
Kyle Alexander,2016,Utah Jazz (UTA),26,71,76,115
Kyle Alexander,2016,Milwaukee Bucks (MIL),66,388,458,310
Kyle Alexander,2016,Phoenix Suns (PHX),78,367,441,405
Kyle Alexander,2016,Los Angeles Lakers (LAL),55,68,93,277
Kyle Alexander,2016,Indiana Pacers (IND),75,109,126,193
Kyle Alexander,2016,Boston Celtics (BOS),78,85,124,134
Kyle Alexander,2016,Philadelphia 76ers (PHI),42,60,78,76
Kyle Alexander,2016,Houston Rockets (HOU),9,0,0,6
Kyle Alexander,2016,New York Knicks (NYK),31,5,7,73
Kyle Alexander,2016,Miami Heat (MIA),76,585,676,248
Kyle Alexander,2016,Atlanta Hawks (ATL),65,94,177,0
Kyle Alexander,2016,Houston Rockets (HOU),72,89,117,320
Kyle Alexander,2016,Atlanta Hawks (ATL),73,88,115,296
Kyle Alexander,2016,Los Angeles Lakers (LAL),76,154,185,437
Kyle Alexander,2016,Houston Rockets (HOU),47,91,124,0
Kyle Alexander,2016,Brooklyn Nets (BKN),71,141,194,326
Kyle Alexander,2016,Dallas Mavericks (DAL),75,101,151,2
Kyle Alexander,2016,Orlando Magic (ORL),45,58,77,64
Kyle Alexander,2016,Golden State Warriors (GSW),82,113,181,224
Kyle Alexander,2016,Utah Jazz (UTA),82,134,168,356
Kyle Alexander,2016,Utah Jazz (UTA),69,316,368,419
Kyle Alexander,2016,Milwaukee Bucks (MIL),39,7,9,33
Kyle Alexander,2016,Los Angeles Lakers (LAL),9,2,3,12
Kyle Alexander,2016,Houston Rockets (HOU),67,143,174,412
Kyle Alexander,2016,Golden State Warriors (GSW),79,325,362,789
Kyle Alexander,2016,Utah Jazz (UTA),46,50,81,0
Kyle Alexander,2016,Los Angeles Lakers (LAL),75,519,647,134
Kyle Alexander,2016,Denver Nuggets (DEN),67,43,54,355
Kyle Alexander,2016,Atlanta Hawks (ATL),76,65,93,0
Kyle Alexander,2015,Dallas Mavericks (DAL),44,45,54,111
Kyle Alexander,2016,Cleveland Cavaliers (CLE),76,82,96,215
Kyle Alexander,2016,Miami Heat (MIA),72,176,217,394
Kyle Alexander,2016,Brooklyn Nets (BKN),59,126,159,101
Kyle Alexander,2016,Memphis Grizzlies (MEM),82,136,167,43
Kyle Alexander,2016,Phoenix Suns (PHX),17,15,21,0
Kyle Alexander,2016,San Antonio Spurs (SAS),74,545,647,124
Kyle Alexander,2016,Cleveland Cavaliers (CLE),81,137,355,7
Kyle Alexander,2016,Chicago Bulls (CHI),78,36,59,73
Kyle Alexander,2016,Los Angeles Lakers (LAL),64,43,65,203
Kyle Alexander,2016,New York Knicks (NYK),62,37,43,394
Kyle Alexander,2015,Brooklyn Nets (BKN),72,447,498,481
Kyle Alexander,2016,Philadelphia 76ers (PHI),31,191,244,98
Kyle Alexander,2016,Miami Heat (MIA),73,298,377,289
Kyle Alexander,2016,Cleveland Cavaliers (CLE),66,58,73,149
Kyle Alexander,2016,Chicago Bulls (CHI),66,60,93,0
Kyle Alexander,2016,New Orleans Pelicans (NOP),50,67,109,10
Kyle Alexander,2016,Dallas Mavericks (DAL),81,46,61,191
Kyle Alexander,2016,Orlando Magic (ORL),68,223,277,360
Kyle Alexander,2016,Sacramento Kings (SAC),36,64,73,149
Kyle Alexander,2016,San Antonio Spurs (SAS),36,5,6,53
Kyle Alexander,2016,Orlando Magic (ORL),64,86,110,137
Kyle Alexander,2016,Oklahoma City Thunder (OKC),63,349,387,324
Kyle Alexander,2016,Detroit Pistons (DET),19,11,12,40
Kyle Alexander,2016,Toronto Raptors (TOR),74,278,332,268
Kyle Alexander,2016,San Antonio Spurs (SAS),30,118,138,113
Kyle Alexander,2016,Los Angeles Clippers (LAC),75,336,374,496
Kyle Alexander,2016,New York Knicks (NYK),23,28,39,1
Kyle Alexander,2016,Orlando Magic (ORL),80,156,217,267
Kyle Alexander,2016,Houston Rockets (HOU),75,147,175,661
Kyle Alexander,2016,Atlanta Hawks (ATL),27,10,15,15
Kyle Alexander,2016,Los Angeles Lakers (LAL),68,27,32,311
Kyle Alexander,2016,Golden State Warriors (GSW),76,151,213,263
Kyle Alexander,2016,Utah Jazz (UTA),81,311,476,1
Kyle Alexander,2016,Denver Nuggets (DEN),78,86,139,114
Kyle Alexander,2016,Detroit Pistons (DET),61,320,421,113
Kyle Alexander,2016,Houston Rockets (HOU),69,145,168,193
Kyle Alexander,2016,Los Angeles Clippers (LAC),77,134,167,145
Kyle Alexander,2016,Houston Rockets (HOU),81,746,881,756
Kyle Alexander,2016,New York Knicks (NYK),77,77,124,194
Kyle Alexander,2016,Dallas Mavericks (DAL),79,164,214,417
Kyle Alexander,2016,Denver Nuggets (DEN),57,104,134,255
Kyle Alexander,2016,Philadelphia 76ers (PHI),82,190,226,314
Kyle Alexander,2016,Brooklyn Nets (BKN),52,35,49,221
Kyle Alexander,2016,Los Angeles Clippers (LAC),58,76,121,7
Kyle Alexander,2016,Detroit Pistons (DET),58,74,107,1
Kyle Alexander,2016,Miami Heat (MIA),16,9,15,3
Kyle Alexander,2016,Boston Celtics (BOS),73,362,429,374
Kyle Alexander,2016,Charlotte Hornets (CHA),72,91,125,15
Kyle Alexander,2016,Sacramento Kings (SAC),25,35,43,138
Kyle Alexander,2016,Milwaukee Bucks (MIL),49,157,196,233
Kyle Alexander,2016,Portland Trail Blazers (POR),65,40,50,144
Kyle Alexander,2016,Minnesota Timberwolves (MIN),62,57,76,113
Kyle Alexander,2016,Miami Heat (MIA),80,103,128,270
Kyle Alexander,2016,New Orleans Pelicans (NOP),67,119,168,281
Kyle Alexander,2016,Toronto Raptors (TOR),78,190,253,67
Kyle Alexander,2016,Sacramento Kings (SAC),57,72,103,77
Kyle Alexander,2016,Indiana Pacers (IND),82,66,80,273
Kyle Alexander,2016,Philadelphia 76ers (PHI),68,108,135,242
Kyle Alexander,2016,Houston Rockets (HOU),1,0,0,0
Kyle Alexander,2016,Los Angeles Lakers (LAL),74,226,424,2
Kyle Alexander,2016,Portland Trail Blazers (POR),59,90,115,307
Kyle Alexander,2016,Toronto Raptors (TOR),23,30,34,103
