name,year,team,games_played,ftm,fta,tpa
LaMarcus Aldridge,2017,New York Knicks (NYK),18,7,9,11
LaMarcus Aldridge,2017,Brooklyn Nets (BKN),72,114,147,15
LaMarcus Aldridge,2017,San Antonio Spurs (SAS),75,334,399,92
LaMarcus Aldridge,2017,Orlando Magic (ORL),69,59,80,339
LaMarcus Aldridge,2017,Oklahoma City Thunder (OKC),76,160,286,2
LaMarcus Aldridge,2017,Miami Heat (MIA),69,129,179,7
LaMarcus Aldridge,2017,Memphis Grizzlies (MEM),74,104,146,57
LaMarcus Aldridge,2017,Milwaukee Bucks (MIL),75,487,641,140
LaMarcus Aldridge,2017,Orlando Magic (ORL),75,164,189,272
LaMarcus Aldridge,2017,Charlotte Hornets (CHA),53,20,25,43
LaMarcus Aldridge,2017,Toronto Raptors (TOR),74,39,62,197
LaMarcus Aldridge,2017,Chicago Bulls (CHI),24,5,6,31
LaMarcus Aldridge,2017,Portland Trail Blazers (POR),78,148,193,474
LaMarcus Aldridge,2017,Dallas Mavericks (DAL),69,80,102,313
LaMarcus Aldridge,2017,Sacramento Kings (SAC),77,259,313,333
LaMarcus Aldridge,2017,Portland Trail Blazers (POR),67,76,89,462
LaMarcus Aldridge,2017,Denver Nuggets (DEN),81,182,226,422
LaMarcus Aldridge,2017,New Orleans Pelicans (NOP),52,32,71,295
LaMarcus Aldridge,2017,Sacramento Kings (SAC),65,160,201,274
LaMarcus Aldridge,2017,Phoenix Suns (PHX),81,59,78,21
LaMarcus Aldridge,2017,Washington Wizards (WAS),82,292,369,530
LaMarcus Aldridge,2017,Atlanta Hawks (ATL),26,19,33,30
LaMarcus Aldridge,2017,Washington Wizards (WAS),77,40,49,252
LaMarcus Aldridge,2017,Minnesota Timberwolves (MIN),62,22,33,82
LaMarcus Aldridge,2017,Los Angeles Clippers (LAC),11,14,17,60
LaMarcus Aldridge,2017,Charlotte Hornets (CHA),64,108,130,274
LaMarcus Aldridge,2017,San Antonio Spurs (SAS),28,47,54,148
LaMarcus Aldridge,2017,Charlotte Hornets (CHA),82,102,157,1
LaMarcus Aldridge,2017,Golden State Warriors (GSW),82,39,51,322
LaMarcus Aldridge,2017,Sacramento Kings (SAC),67,36,45,183
LaMarcus Aldridge,2017,Utah Jazz (UTA),80,178,205,386
LaMarcus Aldridge,2017,Sacramento Kings (SAC),78,100,119,329
LaMarcus Aldridge,2017,Orlando Magic (ORL),42,42,61,0
LaMarcus Aldridge,2017,Toronto Raptors (TOR),1,0,0,1
LaMarcus Aldridge,2017,Milwaukee Bucks (MIL),71,241,303,347
LaMarcus Aldridge,2017,Phoenix Suns (PHX),54,289,329,384
LaMarcus Aldridge,2017,Utah Jazz (UTA),9,2,2,1
LaMarcus Aldridge,2017,Los Angeles Lakers (LAL),6,2,2,9
LaMarcus Aldridge,2017,Memphis Grizzlies (MEM),82,124,166,264
LaMarcus Aldridge,2017,Milwaukee Bucks (MIL),54,21,24,91
LaMarcus Aldridge,2017,Indiana Pacers (IND),48,75,85,161
LaMarcus Aldridge,2017,Washington Wizards (WAS),15,5,9,10
LaMarcus Aldridge,2017,Boston Celtics (BOS),70,150,233,306
LaMarcus Aldridge,2017,Philadelphia 76ers (PHI),64,107,124,142
LaMarcus Aldridge,2017,Houston Rockets (HOU),10,5,6,15
LaMarcus Aldridge,2017,New York Knicks (NYK),62,39,49,281
LaMarcus Aldridge,2017,Miami Heat (MIA),59,363,425,200
LaMarcus Aldridge,2017,Atlanta Hawks (ATL),74,144,257,1
LaMarcus Aldridge,2017,Houston Rockets (HOU),73,188,246,391
LaMarcus Aldridge,2017,Atlanta Hawks (ATL),58,28,37,165
LaMarcus Aldridge,2017,Los Angeles Lakers (LAL),37,21,30,43
LaMarcus Aldridge,2017,Los Angeles Lakers (LAL),74,153,194,415
