name,year,team,games_played,ftm,fta,tpa
Nickeil Alexander-Walker,2015,San Antonio Spurs (SAS),74,259,302,16
Nickeil Alexander-Walker,2015,Orlando Magic (ORL),82,115,156,349
Nickeil Alexander-Walker,2015,Oklahoma City Thunder (OKC),80,114,196,0
Nickeil Alexander-Walker,2015,Memphis Grizzlies (MEM),78,62,83,37
Nickeil Alexander-Walker,2015,Milwaukee Bucks (MIL),80,296,409,109
Nickeil Alexander-Walker,2015,Orlando Magic (ORL),28,77,94,107
Nickeil Alexander-Walker,2015,Portland Trail Blazers (POR),72,334,403,310
Nickeil Alexander-Walker,2015,Dallas Mavericks (DAL),74,74,96,260
Nickeil Alexander-Walker,2015,Sacramento Kings (SAC),66,102,134,214
Nickeil Alexander-Walker,2015,Portland Trail Blazers (POR),81,126,161,499
Nickeil Alexander-Walker,2015,Denver Nuggets (DEN),82,216,268,325
Nickeil Alexander-Walker,2015,Sacramento Kings (SAC),75,123,151,305
Nickeil Alexander-Walker,2015,Phoenix Suns (PHX),81,126,165,2
Nickeil Alexander-Walker,2015,Washington Wizards (WAS),55,135,176,271
Nickeil Alexander-Walker,2015,Los Angeles Clippers (LAC),71,60,88,310
Nickeil Alexander-Walker,2015,Charlotte Hornets (CHA),70,163,192,399
Nickeil Alexander-Walker,2015,San Antonio Spurs (SAS),68,115,138,297
Nickeil Alexander-Walker,2015,Charlotte Hornets (CHA),82,142,226,1
Nickeil Alexander-Walker,2015,Sacramento Kings (SAC),60,40,55,125
Nickeil Alexander-Walker,2015,Utah Jazz (UTA),79,110,132,338
Nickeil Alexander-Walker,2015,Milwaukee Bucks (MIL),31,138,172,129
Nickeil Alexander-Walker,2015,Phoenix Suns (PHX),76,215,256,289
Nickeil Alexander-Walker,2015,Los Angeles Lakers (LAL),76,96,123,407
Nickeil Alexander-Walker,2015,Philadelphia 76ers (PHI),31,106,141,79
Nickeil Alexander-Walker,2015,Houston Rockets (HOU),6,0,0,7
Nickeil Alexander-Walker,2015,New York Knicks (NYK),37,14,15,53
Nickeil Alexander-Walker,2015,Miami Heat (MIA),67,395,475,205
Nickeil Alexander-Walker,2015,Atlanta Hawks (ATL),77,80,211,1
Nickeil Alexander-Walker,2015,Houston Rockets (HOU),26,30,50,118
Nickeil Alexander-Walker,2015,Atlanta Hawks (ATL),60,70,84,169
Nickeil Alexander-Walker,2015,Los Angeles Lakers (LAL),76,185,228,369
Nickeil Alexander-Walker,2015,Houston Rockets (HOU),66,106,171,1
Nickeil Alexander-Walker,2014,Brooklyn Nets (BKN),78,110,142,406
Nickeil Alexander-Walker,2015,Dallas Mavericks (DAL),66,81,125,2
Nickeil Alexander-Walker,2015,Orlando Magic (ORL),54,106,162,55
Nickeil Alexander-Walker,2015,Utah Jazz (UTA),79,164,204,320
Nickeil Alexander-Walker,2015,Utah Jazz (UTA),56,191,229,215
Nickeil Alexander-Walker,2015,Milwaukee Bucks (MIL),34,5,5,21
Nickeil Alexander-Walker,2015,Houston Rockets (HOU),67,140,177,482
Nickeil Alexander-Walker,2015,Golden State Warriors (GSW),79,363,400,886
Nickeil Alexander-Walker,2015,Utah Jazz (UTA),81,114,204,0
Nickeil Alexander-Walker,2015,Los Angeles Lakers (LAL),61,326,430,108
Nickeil Alexander-Walker,2015,Denver Nuggets (DEN),43,5,9,122
Nickeil Alexander-Walker,2015,Atlanta Hawks (ATL),58,57,76,0
Nickeil Alexander-Walker,2014,Dallas Mavericks (DAL),2,0,0,1
Nickeil Alexander-Walker,2015,Cleveland Cavaliers (CLE),76,57,66,239
Nickeil Alexander-Walker,2015,Miami Heat (MIA),73,196,239,363
Nickeil Alexander-Walker,2015,Brooklyn Nets (BKN),12,19,33,10
Nickeil Alexander-Walker,2015,Memphis Grizzlies (MEM),82,205,248,20
Nickeil Alexander-Walker,2015,San Antonio Spurs (SAS),78,555,653,139
Nickeil Alexander-Walker,2015,Cleveland Cavaliers (CLE),81,208,586,6
Nickeil Alexander-Walker,2015,Los Angeles Lakers (LAL),81,72,98,238
Nickeil Alexander-Walker,2015,New York Knicks (NYK),76,54,63,268
Nickeil Alexander-Walker,2014,Brooklyn Nets (BKN),27,146,171,159
Nickeil Alexander-Walker,2015,Miami Heat (MIA),72,120,165,205
Nickeil Alexander-Walker,2014,Cleveland Cavaliers (CLE),82,20,32,264
Nickeil Alexander-Walker,2015,Chicago Bulls (CHI),31,25,35,4
Nickeil Alexander-Walker,2015,New Orleans Pelicans (NOP),62,180,254,4
Nickeil Alexander-Walker,2015,Orlando Magic (ORL),79,199,238,390
Nickeil Alexander-Walker,2015,Orlando Magic (ORL),9,19,24,50
Nickeil Alexander-Walker,2015,Oklahoma City Thunder (OKC),53,375,432,239
Nickeil Alexander-Walker,2015,Detroit Pistons (DET),82,86,114,224
Nickeil Alexander-Walker,2015,Toronto Raptors (TOR),52,203,245,3
Nickeil Alexander-Walker,2015,San Antonio Spurs (SAS),70,198,254,215
Nickeil Alexander-Walker,2015,Los Angeles Clippers (LAC),81,454,528,566
