name,year,team,games_played,ftm,fta,tpa
OG Anunoby,2005,Portland Trail Blazers (POR),80,573,709,152
OG Anunoby,2005,Portland Trail Blazers (POR),21,35,50,2
OG Anunoby,2005,Atlanta Hawks (ATL),79,480,601,367
OG Anunoby,2005,Houston Rockets (HOU),79,97,193,1
OG Anunoby,2005,Miami Heat (MIA),81,157,199,2
OG Anunoby,2005,Los Angeles Lakers (LAL),82,356,598,2
OG Anunoby,2005,Miami Heat (MIA),82,263,349,158
OG Anunoby,2005,Los Angeles Lakers (LAL),79,601,814,379
OG Anunoby,2005,Milwaukee Bucks (MIL),82,101,119,438
OG Anunoby,2005,Oklahoma City Thunder (OKC),78,394,465,177
OG Anunoby,2005,Los Angeles Clippers (LAC),30,8,13,9
OG Anunoby,2005,Milwaukee Bucks (MIL),79,189,253,53
OG Anunoby,2005,Washington Wizards (WAS),23,18,24,20
OG Anunoby,2004,Portland Trail Blazers (POR),56,282,367,6
OG Anunoby,2004,Atlanta Hawks (ATL),55,140,212,2
