name,year,team,games_played,ftm,fta,tpa
Ryan Arcidiacono,2004,Portland Trail Blazers (POR),75,456,573,158
Ryan Arcidiacono,2004,Portland Trail Blazers (POR),80,121,174,13
Ryan Arcidiacono,2004,Atlanta Hawks (ATL),57,317,388,254
Ryan Arcidiacono,2004,Houston Rockets (HOU),80,226,336,2
Ryan Arcidiacono,2004,Miami Heat (MIA),80,178,225,4
Ryan Arcidiacono,2004,Los Angeles Lakers (LAL),82,277,413,2
Ryan Arcidiacono,2004,Miami Heat (MIA),82,156,210,142
Ryan Arcidiacono,2004,Los Angeles Lakers (LAL),80,477,636,308
Ryan Arcidiacono,2004,Milwaukee Bucks (MIL),82,82,96,558
Ryan Arcidiacono,2003,Portland Trail Blazers (POR),78,365,511,15
Ryan Arcidiacono,2003,Atlanta Hawks (ATL),77,240,352,2
