name,year,team,games_played,ftm,fta,tpa
Steven Adams,2019,Oklahoma City Thunder (OKC),58,108,183,3
Steven Adams,2018,Oklahoma City Thunder (OKC),80,146,292,2
Steven Adams,2017,Oklahoma City Thunder (OKC),76,160,286,2
Steven Adams,2016,Oklahoma City Thunder (OKC),80,157,257,1
Steven Adams,2015,Oklahoma City Thunder (OKC),80,114,196,0
Steven Adams,2014,Oklahoma City Thunder (OKC),70,103,205,2
Steven Adams,2013,Oklahoma City Thunder (OKC),81,79,136,0
Steven Adams,2019,Miami Heat (MIA),65,236,342,13
Steven Adams,2018,Miami Heat (MIA),82,166,226,15
Steven Adams,2017,Miami Heat (MIA),69,129,179,7
Steven Adams,2019,Orlando Magic (ORL),18,19,29,36
Steven Adams,2018,Orlando Magic (ORL),81,150,173,280
Steven Adams,2017,Orlando Magic (ORL),69,59,80,339
Steven Adams,2016,Orlando Magic (ORL),61,96,136,212
Steven Adams,2015,Orlando Magic (ORL),82,115,156,349
Steven Adams,2014,Orlando Magic (ORL),74,84,118,124
Steven Adams,2013,Orlando Magic (ORL),80,91,137,48
Steven Adams,2012,Orlando Magic (ORL),76,101,137,19
Steven Adams,2011,Orlando Magic (ORL),66,86,114,47
Steven Adams,2010,Orlando Magic (ORL),81,92,119,143
Steven Adams,2019,Brooklyn Nets (BKN),64,147,237,5
Steven Adams,2018,Brooklyn Nets (BKN),80,197,278,45
Steven Adams,2017,Brooklyn Nets (BKN),72,114,147,15
Steven Adams,2019,San Antonio Spurs (SAS),53,158,191,157
Steven Adams,2018,San Antonio Spurs (SAS),81,349,412,42
Steven Adams,2017,San Antonio Spurs (SAS),75,334,399,92
Steven Adams,2016,San Antonio Spurs (SAS),72,220,271,56
Steven Adams,2015,San Antonio Spurs (SAS),74,259,302,16
Steven Adams,2014,San Antonio Spurs (SAS),71,306,362,105
Steven Adams,2013,San Antonio Spurs (SAS),69,296,360,15
Steven Adams,2012,San Antonio Spurs (SAS),74,282,348,14
Steven Adams,2011,San Antonio Spurs (SAS),55,223,274,11
Steven Adams,2010,San Antonio Spurs (SAS),81,351,444,23
Steven Adams,2009,San Antonio Spurs (SAS),78,230,304,16
Steven Adams,2008,San Antonio Spurs (SAS),81,261,334,28
Steven Adams,2007,San Antonio Spurs (SAS),76,227,298,7
Steven Adams,2006,San Antonio Spurs (SAS),63,83,115,2
Steven Adams,2019,New York Knicks (NYK),10,7,11,16
Steven Adams,2018,New York Knicks (NYK),19,42,54,36
Steven Adams,2017,New York Knicks (NYK),18,7,9,11
Steven Adams,2019,Milwaukee Bucks (MIL),57,361,570,271
Steven Adams,2018,Milwaukee Bucks (MIL),72,500,686,203
Steven Adams,2017,Milwaukee Bucks (MIL),75,487,641,140
Steven Adams,2016,Milwaukee Bucks (MIL),80,471,612,180
Steven Adams,2015,Milwaukee Bucks (MIL),80,296,409,109
Steven Adams,2014,Milwaukee Bucks (MIL),81,257,347,44
Steven Adams,2013,Milwaukee Bucks (MIL),77,138,202,118
Steven Adams,2019,Milwaukee Bucks (MIL),18,7,15,7
Steven Adams,2015,Milwaukee Bucks (MIL),2,0,0,1
Steven Adams,2019,Memphis Grizzlies (MEM),59,43,66,62
