name,year,team,games_played,ftm,fta,tpa
Thanasis Antetokounmpo,2007,San Antonio Spurs (SAS),76,227,298,7
Thanasis Antetokounmpo,2007,Portland Trail Blazers (POR),77,464,590,164
Thanasis Antetokounmpo,2007,Dallas Mavericks (DAL),44,28,35,54
Thanasis Antetokounmpo,2007,Portland Trail Blazers (POR),24,41,60,15
Thanasis Antetokounmpo,2007,San Antonio Spurs (SAS),33,7,9,41
Thanasis Antetokounmpo,2007,Atlanta Hawks (ATL),76,350,429,273
Thanasis Antetokounmpo,2007,Houston Rockets (HOU),79,175,295,1
Thanasis Antetokounmpo,2007,Utah Jazz (UTA),53,90,123,91
Thanasis Antetokounmpo,2007,Los Angeles Lakers (LAL),73,87,118,41
Thanasis Antetokounmpo,2007,San Antonio Spurs (SAS),81,248,316,387
Thanasis Antetokounmpo,2007,Miami Heat (MIA),49,115,142,0
Thanasis Antetokounmpo,2007,Philadelphia 76ers (PHI),81,155,212,5
Thanasis Antetokounmpo,2007,Los Angeles Lakers (LAL),82,529,897,4
Thanasis Antetokounmpo,2007,Miami Heat (MIA),82,365,506,307
Thanasis Antetokounmpo,2007,Los Angeles Lakers (LAL),75,549,771,359
Thanasis Antetokounmpo,2007,Milwaukee Bucks (MIL),50,88,96,188
Thanasis Antetokounmpo,2007,Toronto Raptors (TOR),82,243,348,140
Thanasis Antetokounmpo,2007,Denver Nuggets (DEN),82,155,229,4
Thanasis Antetokounmpo,2007,Oklahoma City Thunder (OKC),80,332,390,249
Thanasis Antetokounmpo,2007,New Orleans Pelicans (NOP),34,27,34,43
Thanasis Antetokounmpo,2007,Los Angeles Lakers (LAL),77,107,175,19
Thanasis Antetokounmpo,2007,Houston Rockets (HOU),69,75,104,88
Thanasis Antetokounmpo,2007,Los Angeles Clippers (LAC),80,227,290,153
Thanasis Antetokounmpo,2007,Milwaukee Bucks (MIL),80,336,409,10
Thanasis Antetokounmpo,2007,Chicago Bulls (CHI),74,76,103,19
Thanasis Antetokounmpo,2007,Washington Wizards (WAS),60,41,52,77
Thanasis Antetokounmpo,2006,Portland Trail Blazers (POR),59,299,400,11
Thanasis Antetokounmpo,2006,Atlanta Hawks (ATL),64,195,283,1
