Name,Physical_address,Postal_address,Email,Phone,url
Angurugu School,"N/A, Angurugu, NT","PO Box 40, Alyangula, Groote Eylandt, 0885, NT",admin.angurcec@ntschools.net,(08) 8987 6355,https://directory.ntschools.net/#/schools/details/angurcec
Alice Springs School Of The Air,"80 Head St, Alice Springs, 0870, NT","PO Box 1220, Alice Springs, 0871, NT",assoa@assoa.nt.edu.au,(08) 8951 6800,https://directory.ntschools.net/#/schools/details/alicesoa
Alice Springs Language Centre,"Milner Road, Alice SPrings, 0870, NT","PO Box 9045, Alice Springs, 0871, NT",alice.language@ntschools.net,(08) 895 52366,https://directory.ntschools.net/#/schools/details/ntsolasp
Alice Springs Juvenile Detention Centre,"Stuart Highway, Alice Springs, 0870, NT","PO Box 4856, ALICE SPRINGS, 0871, NT",joel.hohn@ntschools.net,(08) 8958 5088 / (08) 8958 5089,https://directory.ntschools.net/#/schools/details/aspdcsch
Alekarenge School,"N/A, Ali Curung (Warrabri), NT","LMB 161, via Alice Springs, 0872, NT",admin.alekacec@ntschools.net,(08) 8964 1957,https://directory.ntschools.net/#/schools/details/alekacec
Alcoota School,"N/A, Engawala (Alcoota Stn), NT","PMB 129,, via Alice Springs, 0872, NT",suzanne.stone@ntschools.net,(08) 8956 9977,https://directory.ntschools.net/#/schools/details/alcoosch
Alawa Primary School,"27 Pett Street, Alawa, 0810, NT","PO Box 40446, Casuarina, 0811, NT",alawa.school@ntschools.net,(08) 899 77666,https://directory.ntschools.net/#/schools/details/alawasch
Amoonguna School,"N/A, Amoonguna, NT","PO Box  2529,, Alice Springs, 0871, NT",cherie.gibbens@ntschools.net,(08) 8952 3402,https://directory.ntschools.net/#/schools/details/amoonsch
Adelaide River School,"31 Memorial Tce, Adelaide River, 0846, NT","C/- Post Office, Adelaide River, 0846, NT",adelaideriver.ps@ntschools.net,(08) 8976 7034,https://directory.ntschools.net/#/schools/details/adelasch
Acacia Hill School,"80 Spearwood Rd, Alice Springs, 0870, NT","PO Box 435, ALICE SPRINGS, 0871, NT",acaciahill.school@ntschools.net,(08) 895 52222,https://directory.ntschools.net/#/schools/details/acacisch
Zuccoli Primary School,"130 Zuccoli Parade, Zuccoli, 0830, NT","PO Box 2222, PALMERSTON, 0832, NT",ZuccoliPrimary@ntschools.net,(08) 792 30222,https://directory.ntschools.net/#/schools/details/zuccosch
Yulara School,"21 Winmati St, Yulara, 0872, NT","PO Box 146, Yulara, 0872, NT",yulara.school@ntschools.net,(08) 8956 2014,https://directory.ntschools.net/#/schools/details/yularsch
Yuendumu School,"Conniston Rd, Yuendumu, NT","C/ - Post Office, Yuendumu, 0870, NT",michael.timewell@ntschools.net,(08) 8956 4011,https://directory.ntschools.net/#/schools/details/yuendcec
Yirrkala School,"Rankine Road, Yirrkala, NT","PO Box 896, Nhulunbuy, 0881, NT",admin.yirrkala@ntschools.net,(08) 898 71988,https://directory.ntschools.net/#/schools/details/yirrkcec
