hospital_name,phone,address,url
Dunwoody Animal Hospital PC,(770) 394-4030,"5450 Chamblee Dunwoody Rd, Atlanta, GA, 30338.",http://www.findalocalvet.com/Profiles/Dunwoody-Animal-Hospital-PC.aspx
Como Park Animal Hospital,(651) 705-0573,"1014 Dale St N, St Paul, MN, 55117.",http://www.findalocalvet.com/Profiles/Como-Park-Animal-Hospital.aspx
El Camino Veterinary Hospital,(916) 488-6878,"4000 El Camino Ave, #100, Sacramento, CA, 95864.",http://www.findalocalvet.com/Profiles/El-Camino-Veterinary-Hospital.aspx
Dixie Trail Animal Clinic Incorporated,(919) 457-1882,"3044 Medlin Dr, Raleigh, NC, 27607.",http://www.findalocalvet.com/Profiles/Dixie-Trail-Animal-Clinic-Incorporated.aspx
Animal Hospital at Brier Creek,(919) 544-2226,"# 10500 Little Brier Creek Lane, Raleigh, NC, 27617.",http://www.findalocalvet.com/Profiles/Animal-Hospital-at-Brier-Creek.aspx
Vetmed Consultants,,"20635 N Cave Creek Rd # A2, Phoenix, AZ, 85024.",http://www.findalocalvet.com/Profiles/Vetmed-Consultants.aspx
Sanford Oaks Animal Clinic,(817) 460-4441,"2000 W Sanford St, Arlington, TX, 76012.",http://www.findalocalvet.com/Profiles/Sanford-Oaks-Animal-Clinic.aspx
Corrine Drive Animal Hospital,(407) 895-3774,"2905 Corrine Drive, Orlando, FL, 32803.",http://www.findalocalvet.com/Profiles/Corrine-Drive-Animal-Hospital.aspx
Goodrich Veterinary Clinic,,"14120 S St, Omaha, NE, 68137.",http://www.findalocalvet.com/Profiles/Goodrich-Veterinary-Clinic.aspx
Belle Mead Animal Hospital,(402) 972-8603,"12100 W Center Rd, Omaha, NE, 68144.",http://www.findalocalvet.com/Profiles/Belle-Mead-Animal-Hospital.aspx
Harvey Oaks Animal Hospital,(402) 334-0200,"2706 S 148th Avenue Cir, Omaha, NE, 68144.",http://www.findalocalvet.com/Profiles/Harvey-Oaks-Animal-Hospital.aspx
American Animal Hospital,,"11030 Emmet St, Omaha, NE, 68164.",http://www.findalocalvet.com/Profiles/American-Animal-Hospital.aspx
Hillsdale Veterinary Group,(503) 246-4660,"6359 SW Capitol Hwy, Portland, OR, 97239.",http://www.findalocalvet.com/Profiles/Hillsdale-Veterinary-Group.aspx
Denkers Veterinary Hospital,,"2225 S State St, South Salt Lake, UT, 84115.",http://www.findalocalvet.com/Profiles/Denkers-Veterinary-Hospital.aspx
Dancing Cats Feline Health Ctr,,"1760 S 1100 E # 8, Salt Lake City, UT, 84105.",http://www.findalocalvet.com/Profiles/Dancing-Cats-Feline-Health-Ctr.aspx
Donald V Renda DVM,,"2364 Fort Union Blvd, Salt Lake City, UT, 84121.",http://www.findalocalvet.com/Profiles/Donald-V-Renda-DVM.aspx
Humane Society of Utah,,"PO Box 573659, Salt Lake City, UT, 84157.",http://www.findalocalvet.com/Profiles/Humane-Society-of-Utah.aspx
Wasatch Exotic Pet Care,,"1892 Fort Union Blvd, Salt Lake City, UT, 84121.",http://www.findalocalvet.com/Profiles/Wasatch-Exotic-Pet-Care.aspx
Arch Animal Hospital,(636) 225-8387,"2951 Dougherty Ferry Rd, Ste 102, St Louis, MO, 63122.",http://www.findalocalvet.com/Profiles/Arch-Animal-Hospital.aspx
Sunset Cliffs Animal Clinic,(619) 224-0773,"4862 Santa Monica Ave, San Diego, CA, 92107.",http://www.findalocalvet.com/Profiles/Sunset-Cliffs-Animal-Clinic.aspx
Bolton Animal Hospital,,"2005 Yale Blvd SE, Albuquerque, NM, 87106.",http://www.findalocalvet.com/Profiles/Bolton-Animal-Hospital.aspx
Ponderosa Animal Clinic,,"5201 Ponderosa Ave NE, Albuquerque, NM, 87110.",http://www.findalocalvet.com/Profiles/Ponderosa-Animal-Clinic.aspx
Compassionate Care,(210) 641-4447,"8607 Wurzbach Rd, Bldg S, San Antonio, TX, 78240.",http://www.findalocalvet.com/Profiles/Compassionate-Care.aspx
South Texas Veterinary Specialist,(210) 930-8383,"503 E Sonterra Blvd, Ste 102, San Antonio, TX, 78258.",http://www.findalocalvet.com/Profiles/South-Texas-Veterinary-Specialist.aspx
Traveling Tails Mobile Vet,(210) 495-8245,"2250 Thousand Oaks Dr, #102, San Antonio, TX, 78232.",http://www.findalocalvet.com/Profiles/Traveling-Tails-Mobile-Vet.aspx
A Visiting Veterinarian,,"8501 Top of the World Dr, Salt Lake City, UT, 84121.",http://www.findalocalvet.com/Profiles/A-Visiting-Veterinarian.aspx
Uptown Cat Hospital,,"2632 Pennsylvania St NE # C, Albuquerque, NM, 87110.",http://www.findalocalvet.com/Profiles/Uptown-Cat-Hospital.aspx
Chester Valley Veterinary Hosp,,"1571 Muldoon Rd, Anchorage, AK, 99504.",http://www.findalocalvet.com/Profiles/Chester-Valley-Veterinary-Hosp.aspx
Veterinary Specialists of Ak,,"3330 Fairbanks St, Anchorage, AK, 99503.",http://www.findalocalvet.com/Profiles/Veterinary-Specialists-of-Ak.aspx
Southside Animal Hospital,,"12000 Industry Way # N5, Anchorage, AK, 99515.",http://www.findalocalvet.com/Profiles/Southside-Animal-Hospital2.aspx
Waterford Lakes Animal Hospital,(407) 382-3818,"11951 Lake Underhill Road, Orlando, FL, 32825.",http://www.findalocalvet.com/Profiles/Waterford-Lakes-Animal-Hospital.aspx
Catnap RVT Relief Services,(619) 884-9601,"3059 W. Canyon Avenue, San Diego, CA, 92123.",http://www.findalocalvet.com/Profiles/Catnap-RVT-Relief-Services.aspx
Pet Emergency Treatment Incorporated,(907) 274-5636,"2320 E Dowling Rd, Anchorage, AK, 99507.",http://www.findalocalvet.com/Profiles/Pet-Emergency-Treatment-Incorporated.aspx
James E Gaarder DVM,,"1921 W Dimond Blvd, Anchorage, AK, 99515.",http://www.findalocalvet.com/Profiles/James-E-Gaarder-DVM.aspx
Pet Stop,,"1921 W Dimond Blvd # 108, Anchorage, AK, 99515.",http://www.findalocalvet.com/Profiles/Pet-Stop.aspx
Kathy Doty DVM,,"3900 Lake Otis Pkwy, Anchorage, AK, 99508.",http://www.findalocalvet.com/Profiles/Kathy-Doty-DVM.aspx
College Village Animal Clinic,,"2036 E Northern Lights Blvd, Anchorage, AK, 99508.",http://www.findalocalvet.com/Profiles/College-Village-Animal-Clinic.aspx
"Northern Lights Veterinary and Laser Center, Inc",(907) 276-2340,"2002 W. Benson Blvd, Anchorage, AK, 99517.",http://www.findalocalvet.com/Profiles/Northern-Lights-Veterinary-and-Laser-Center-Inc.aspx
West Anchorage Veterinary Clnc,,"3630 Jewel Lake Rd, Anchorage, AK, 99502.",http://www.findalocalvet.com/Profiles/West-Anchorage-Veterinary-Clnc.aspx
VCA Bering Sea Animal,,"1347 E 74th Ave, Anchorage, AK, 99518.",http://www.findalocalvet.com/Profiles/VCA-Bering-Sea-Animal.aspx
Northern Lights Veterinary,,"2002 W Benson Blvd, Anchorage, AK, 99517.",http://www.findalocalvet.com/Profiles/Northern-Lights-Veterinary.aspx
Sand Lake Animal Hospital,,"8235 Jewel Lake Rd, Anchorage, AK, 99502.",http://www.findalocalvet.com/Profiles/Sand-Lake-Animal-Hospital.aspx
Alaska Veterinary Clinic,,"300 E Fireweed Ln, Anchorage, AK, 99503.",http://www.findalocalvet.com/Profiles/Alaska-Veterinary-Clinic2.aspx
